minor planet
and companion	type	semimajor axis (AU)	orbital period (yr)	eccentricity	diameter (km)	rotation period (hours)	semimajor axis (km)	orbital period (days)	diameter (km)	discovery
method	discovery date	announcement date
(66391) Moshup
(399307) 1991 RJ2	NEA AMO	2.208	3.282	0.429	0.5?	3.491	0.9?	0.6632	0.24?	LC	27 Aug 2014	Dec 2014
(1089) Tama	MB	2.214	3.294	0.128	10.7	16.444	20.7	0.6852	7.3	LC	24 Dec 2003	12 Jan 2004
2014 WZ120	NEA APO	2.215	3.296	0.639	0.4?	?	?	?	?	R	Nov 2014	Nov 2014
(10132) Lummelunda	MB	2.217	3.302	0.165	3.4	2.5	?	0.935	1	LC	2017	9 Oct 2017
(80218) 1999 VO123	MB	2.218	3.304	0.027	0.28	3	0.9	1.38	0.08?	LC	14 Oct 2015	5 Aug 2015
(1016) Anitra	MB	2.220	3.307	0.128	9.5	5.930	?	?	?	LC	2016	Jun 2016
(15430) 1998 UR31	MB	2.222	3.312	0.170	3.7	2.527	[8?]	0.998	?	LC	22 Apr 2010	Jul 2013
(32039) 2000 JO23	MCA	2.223	3.314	0.283	4.0?	6.598	[53?]	15	1.3?	LC	3 Sep 2007	23 Nov 2007
(450894) 2008 BT18	NEA APO	2.223	3.314	0.593	0.6	2.726	[1.5]	[1.2?]	>0.2	R	6 Jul 2008	29 Jul 2008
(348400) 2005 JF21	NEA AMO	2.223	3.314	0.536	1.2?	?	?	?	?	R	Aug 2015	Aug 2015
(8474) Rettig	MB	2.224	3.318	0.171	4.5?	30.54	[14?]	1.2725	>3.9?	LC	19 May 2015	26 Jul 2015
(9617) Grahamchapman	MB	2.225	3.318	0.113	2.7	2.286	[5.2?]	0.8077	0.7	LC	27 Jan 2006	1 Mar 2006
(2478) Tokai	MB	2.225	3.320	0.068	8.1	25.885	[21?]	1.079	5.8	LC	20 Jan 2007	30 Jan 2007
(25015) Lairdclose	MB	2.228	3.326	0.198	2.9		?	?	?	LC	2018	14 Sep 2018
(2754) Efimov	MB	2.229	3.327	0.232	6.5?	2.450	[10?]	0.6152	1.3?	LC	14 Aug 2006	4 Sep 2006
(2815) Soma	MB	2.233	3.336	0.169	7.0	2.733	[13?]	0.7465	1.7	LC	7 Mar 2011	21 Apr 2011
(276049) 2002 CE26	NEA APO	2.234	3.339	0.559	3.5	3.293	4.7	0.65	0.3	R	30 Aug 2004	4 Sep 2004
(10208) Germanicus	MB	2.235	3.342	0.201	3.2	3.348	[13?]	2.440	1.5	LC	6 Aug 2007	25 Sep 2007
(1052) Belgica	MB	2.236	3.343	0.144	9.8	2.710	[34?]	1.969	3.5	LC	17 Nov 2012	7 Jan 2013
(3749) Balam
--
S/2002 (3749) 1	MB	2.237	3.345	0.109	4.0	2.805	20
289	1.391
61	1.7
1.8	LC
AOT	15 Jul 2007
8 Feb 2002	12 Mar 2008
13 Feb 2002
(2535) Hameenlinna	MB	2.240	3.352	0.080	9.2	3.231	[19?]	0.8846	>2.0	LC	18 Dec 2015	25 Feb 2016
(7393) Luginbuhl	MB	2.241	3.354	0.200	5.1	2.688	16?	1.6426	>2.0	LC	4 Dec 2018	9 Jan 2019
(2019) van Albada	MB	2.241	3.355	0.165	7.6	2.729	14?	0.7492	>2.0	LC	22 Sep 2019	30 Oct 2019
(8306) Shoko	MB	2.242	3.357	0.220	3.2?	3.350	[9?]	1.508	1.3?	LC	Sep 2013	28 Dec 2013
(3073) Kursk	MB	2.242	3.358	0.137	6.7?	3.447	[22?]	1.873	1.7?	LC	11 Dec 2006	3 Jan 2007
(2691) Sersic	MB	2.244	3.362	0.112	5.0	3.881	[12?]	1.117	2.2	LC	3 Jun 2011	16 Jul 2011
(2825) Crosby	MB	2.246	3.366	0.173	5.0	2.814	?	0.5979	>0.9	LC	17 Feb 2017	9 Mar 2017
(939) Isberga	MB	2.247	3.368	0.178	12.4	2.917	33	1.1096	3.6	LC	26 Feb 2006	2007
(2881) Meiden	MB	2.248	3.370	0.155	5.7	3.48	?	?	?	LC		29 Apr 2017
(1344) Caubeta	MB	2.248	3.370	0.120	5.8	3.122	?	?	?	LC		Jan 2012
(4296) Van Woerkom	MB	2.249	3.372	0.166	7.3?	2.809	[17?]	1.093	2.2?	LC	29 Nov 2016	8 Jan 2017
(5536) Honeycutt	MB	2.249	3.373	0.094	8.7?	3.583	[15?]	0.6802	2.7?	LC	13 Sep 2016	1 Oct 2016
(5872) Sugano	MB	2.249	3.373	0.134	9.1?	3.364	[11?]	0.785	>1.8?	LC	23 Sep 2016	11 Oct 2016
(8116) Jeanperrin	MB	2.250	3.374	0.158	4.5	3.617	[13?]	1.506	1.5	LC	4 Oct 2007	9 Nov 2007
(2070) Humason	MB	2.250	3.375	0.155	4.4	3.188	17?	2.229	1.4	LC	13 Oct 2018	16 Jan 2019
(2873) Binzel	MB	2.251	3.377	0.158	6.2	2.704	20?	1.8575	>1.6	LC	8 Mar 2019	17 May 2019
(34706) 2001 OP83	MCA	2.253	3.382	0.383	3.5?	2.594	[7?]	0.865	1.0?	LC	11 Dec 2005	29 Dec 2005
(2623) Zech	MB	2.255	3.386	0.234	7.9?	?	?	?	?	LC	?	5 Nov 2014
(114319) 2002 XD58	MCA	2.256	3.389	0.275	2.6?	7.954	?	?	?	LC	25 Aug 2005	23 Dec 2005
(4951) Iwamoto	MB	2.256	3.390	0.167	4.4	118.0	[31?]	4.917	3.3	LC	11 May 2007	11 May 2007
(3982) Kastel	MB	2.259	3.395	0.219	6.8	5.835	?	?	?	LC	24 Sep 2005	1 Oct 2005
2013 WT44	NEA APO	2.260	3.397	0.568	1.0	2.885	?	?	?	R	20 Mar 2014	22 Mar 2014
